"row ID","Humidity Fraction","Precipitation One Hour (mm)","Pressure Altimeter (mbar)","Wind Speed (m/s)","Temperature (C)"
"Row12007",0.8295,0.0,1014.9,4.6,11.7
"Row2545",0.6875,0.0,1018.0,3.6,12.8
"Row13310",0.6082,0.0,1013.5,10.8,18.3
"Row9974",0.6374,0.0,1016.9,4.6,12.8
"Row7507",0.7469,0.0,1020.0,5.2,13.3
"Row16989",0.7318,0.0,1024.4,,7.8
"Row6280",0.5095,0.0,1010.8,7.7,21.7
"Row12149",0.8923,0.0,,5.2,10.6
"Row17260",0.9265,0.0,1019.6,5.2,6.1
"Row5396",0.8081,0.0,1014.2,6.2,16.1
"Row11837",0.8996,0.0,1017.3,5.7,12.2
"Row5479",0.8664,0.0,1013.9,4.1,14.4
"Row15041",0.7032,0.0,1012.9,9.8,18.3
"Row5194",,0.0,1019.3,2.6,17.2
"Row14108",0.6738,0.0,1013.2,,17.2
"Row16230",0.9595,0.0,,3.1,6.7
"Row3970",0.7225,0.0,1016.6,8.8,16.1
"Row7331",0.1251,0.0,1024.7,1.0,23.9
"Row16942",0.6061,0.0,1029.8,2.1,8.9
"Row16339",0.7995,0.0,1016.9,3.6,10.0
"Row5374",,0.0,1014.6,6.2,15.0
"Row3646",0.7761,0.0,1015.9,6.7,15.6
"Row4543",0.805,0.0,1010.8,2.6,13.9
"Row2812",0.8918,0.0,,2.6,10.0
"Row291",0.9309,6.9,1000.3,10.3,13.9
"Row6698",0.8949,0.0,1018.3,3.6,13.9
"Row14667",0.8659,0.0,1014.9,3.1,13.9
"Row6103",0.8941,0.0,,2.1,12.8
"Row10644",0.6424,0.0,1020.0,7.7,15.0
"Row6049",0.9311,0.0,1013.9,4.1,14.4
"Row9965",0.9595,0.3,1012.5,3.1,6.7
"Row14712",0.9004,0.0,,5.2,13.3
"Row11477",0.7671,0.0,1010.8,10.3,10.0
"Row6631",0.9004,0.0,,4.1,13.3
"Row14006",0.5479,0.0,,8.2,21.7
"Row6479",0.8941,0.0,1016.9,7.7,12.8
"Row4796",0.7761,0.0,1016.6,7.7,15.6
"Row14203",0.5678,0.0,1011.9,9.8,19.4
"Row14980",0.9299,0.0,,2.6,12.2
"Row15893",0.8932,0.0,1018.6,0.0,11.7
"Row6898",0.8369,0.0,,3.1,17.8
"Row2550",,0.3,1015.6,7.2,12.8
"Row1766",0.6738,,1022.0,,17.2
"Row14845",0.6761,0.0,1015.9,,18.3
"Row13803",0.8659,0.0,1012.5,6.2,13.9
"Row8983",0.966,0.0,1023.7,0.0,6.1
"Row12970",0.5788,0.0,1016.6,8.8,16.1
"Row6127",0.8927,0.0,1007.8,1.5,11.1
"Row15109",0.6784,0.0,1015.9,8.2,19.4
"Row6159",0.7245,0.0,1016.6,6.2,17.2
"Row8777",0.9293,0.0,1026.4,5.2,11.1
"Row14906",0.8941,,1018.6,3.1,12.8
"Row1730",0.8322,0.0,1015.6,3.1,13.9
"Row4981",0.6549,0.0,1014.2,4.1,20.6
"Row16589",0.8513,0.0,1016.7917365478716,0.0,5.6
"Row2570",0.8932,0.0,,4.1,11.7
"Row4249",0.805,0.0,1009.1,7.2,13.9
"Row17470",0.792,0.0,1017.6,1.5,5.0
"Row6372",0.6761,0.0,1017.3,,18.3
"Row16934",0.5862,0.0,1028.4,4.1,11.1
"Row3180",0.4514,0.0,1016.3,7.2,19.4
"Row14283",0.8659,0.0,1015.6,,13.9
"Row14652",0.6351,,1016.9,7.7,21.1
"Row10189",0.8336,0.0,1022.7,2.1,15.0
"Row5530",0.7245,0.0,,5.2,17.2
"Row14620",0.8371,0.0,1013.5,4.1,13.3
"Row3046",,0.0,1018.6,10.8,12.2
"Row420",0.8295,0.0,1009.8,2.6,11.7
"Row6099",0.9004,0.0,1011.2,5.7,13.3
"Row1503",0.6449,0.0,1028.1,8.2,16.1
"Row15302",0.5172,0.0,1010.8,9.3,23.3
"Row4007",0.4704,0.0,1009.5,4.1,20.6
"Row2526",0.8281,0.0,1018.3,3.6,10.6
"Row8284",,0.0,1020.3,2.1,8.3
"Row621",0.6348,0.0,1016.6,2.1,11.7
"Row3170",,,1016.3,6.7,13.3
"Row5946",0.6976,0.0,1012.5,9.8,17.8
"Row4706",0.8642,0.0,1015.2,4.6,12.2
"Row1045",0.5271,0.0,1021.0,4.1,13.9
"Row4229",0.8932,0.0,,5.2,11.7
"Row15177",0.8631,0.0,1016.6,4.1,16.7
"Row1037",0.9275,0.0,1021.7,1.5,7.8
"Row2244",0.7193,0.3,1020.3,7.7,14.4
"Row7958",0.9293,3.6,1013.5,5.7,11.1
"Row5693",0.7794,0.0,1012.9,3.1,14.4
"Row10456",0.1976,0.0,,1.5,23.9
"Row11319",0.6287,0.0,1019.3,9.3,18.3
"Row17329",0.7689,0.0,1009.5,,11.1
"Row12851",0.6262,,1018.3,6.7,17.2
"Row836",0.5975,0.0,1010.5,9.3,15.6
"Row12152",0.7981,0.0,1014.6,4.6,12.8
"Row11365",,0.0,1020.3,8.8,17.2
"Row9252",0.6667,0.0,1024.7,2.6,13.9
"Row13374",0.8927,0.0,1014.6,4.1,11.1
"Row5640",0.8057,0.0,,4.1,14.4
"Row8141",0.9272,0.0,1016.7917365478716,3.1,7.2
"Row11460",0.8579,1.3,1009.1,6.2,11.7
"Row12702",0.8568,0.0,1012.9,5.7,10.6
"Row13573",0.5885,0.0,1017.3,,20.0
"Row10962",0.8642,0.0,1018.6,8.2,12.2
"Row11332",,0.0,1019.0,2.6,12.2
"Row11670",0.8274,0.0,1018.6,8.2,10.0
"Row13351",0.8932,0.0,1015.9,5.7,11.7
"Row9150",0.5262,0.0,1021.7,0.0,12.2
"Row13060",0.9293,0.0,1016.3,5.7,11.1
"Row10007",0.797,0.0,,4.6,8.3
"Row3522",0.5678,0.0,,6.7,19.4
"Row4949",0.7795,0.0,1015.6,3.1,17.8
"Row7329",,0.0,1024.7,4.1,20.0
"Row17120",0.8965,0.0,1023.7,4.1,8.3
"Row5501",0.9004,0.0,1012.5,3.1,13.3
"Row15265",0.8967,0.0,1015.9,3.1,16.1
"Row15872",0.8371,0.0,1019.0,4.6,13.3
"Row9905",0.7681,0.0,1005.8,7.2,10.6
"Row3862",0.7725,0.0,1017.3,10.3,13.3
"Row6041",0.7536,,1012.2,10.3,17.2
"Row839",0.464,0.0,1011.9,10.3,17.2
"Row5375",0.8343,0.0,,5.7,15.6
"Row14316",0.5861,0.0,,5.2,20.6
"Row3188",0.5542,0.0,1015.9,4.1,15.6
"Row15606",0.8932,0.0,1011.2,8.2,11.7
"Row16168",1.0,,1011.9,5.2,13.3
"Row10692",0.6334,0.0,1017.6,9.3,11.1
"Row7117",,0.0,1017.6,3.6,20.6
"Row13022",0.5113,0.0,1015.2,10.3,21.1
"Row8156",0.8923,0.0,1019.3,1.5,10.6
"Row2054",0.862,3.0,1013.5,6.2,10.0
"Row9990",0.9599,3.8,1020.3,6.2,7.8
"Row11974",0.8371,0.0,1013.5,,13.3
"Row4901",0.805,0.0,1010.8,2.1,13.9
"Row1278",0.8323,1.5,1010.5,3.6,9.4
"Row3106",0.4114,,1016.7917365478716,,22.8
"Row14806",0.7517,0.0,1016.6,8.2,16.1
"Row11927",0.7965,0.0,1015.6,8.8,11.7
"Row7506",0.7469,0.0,1020.3,4.6,13.3
"Row5599",0.8336,0.0,1012.5,3.1,15.0
"Row16410",0.7995,0.0,1016.6,6.2,10.0
"Row8081",,0.0,1023.7,,13.9
"Row5393",,0.0,1014.9,7.7,17.8
"Row13861",0.6542,0.0,1018.6,6.7,18.3
"Row12229",0.5455,0.0,1012.5,5.7,19.4
"Row6334",0.8579,0.0,1013.5,6.2,11.7
"Row3275",0.6029,0.0,1015.6,4.1,17.8
"Row17227",0.8965,0.0,1022.0,2.1,8.3
"Row7355",0.5455,0.0,1023.4,3.1,19.4
"Row4343",0.805,0.0,1010.5,5.2,13.9
"Row15024",0.9305,0.0,1014.6,,13.3
"Row1743",0.5858,0.0,1017.3,3.1,18.9
"Row3984",,0.0,,6.2,12.8
"Row8185",0.8384,,1015.6,6.2,14.4
"Row13045",0.587,0.0,1016.9,8.2,19.4
"Row9059",0.6875,0.0,1026.8,,12.8
"Row16136",0.7107,0.0,1020.7,0.0,10.0
"Row9189",0.739,0.0,,0.0,11.7
"Row9787",0.5414,0.0,1028.4,0.0,9.4
"Row16287",0.6404,0.0,1009.8,3.1,12.2
"Row4321",0.7725,0.0,1010.2,3.6,13.3
"Row9513",0.8597,0.0,1027.1,2.1,7.8
"Row16902",0.859,0.0,1017.3,5.2,7.2
"Row9101",,0.0,1020.0,1.5,7.2
"Row5019",0.867,0.0,1015.2,5.2,15.0
"Row15188",0.8958,0.0,1013.9,10.3,15.0
"Row14929",0.9303,0.0,1017.6,3.1,12.8
"Row2150",0.6463,0.0,1015.6,,16.7
"Row6345",0.7717,,1014.9,3.1,12.8
"Row9207",0.5227,0.0,1015.6,2.1,18.9
"Row6511",0.8932,0.0,1011.9,4.1,11.7
"Row2299",,0.0,1018.6,8.8,15.0
"Row1416",0.8323,0.0,1024.0,,9.4
"Row1236",0.6143,0.0,1020.7,6.7,12.2
"Row13469",0.8648,0.0,1013.9,,12.8
"Row14850",0.7245,0.0,1014.2,12.4,17.2
"Row10166",0.5019,0.0,1021.0,2.6,18.9
"Row10356",0.692,0.0,1019.6,3.1,15.0
"Row8386",0.8608,0.0,1021.7,3.6,8.9
"Row4082",0.8648,0.0,1011.5,5.7,12.8
"Row11463",0.7965,0.0,1009.1,7.2,11.7
"Row16297",0.9265,0.0,1012.5,2.1,6.1
"Row3036",0.464,0.0,,8.8,17.2
"Row16797",,0.0,1016.6,2.6,13.3
"Row4446",0.8371,0.0,1009.5,3.6,13.3
"Row10371",0.9284,0.0,1020.0,,9.4
"Row6831",0.6324,0.0,1018.0,4.1,21.7
"Row15675",0.4373,0.0,1011.9,11.8,15.6
"Row13159",0.7981,0.0,,1.5,12.8
"Row5525",0.8664,0.0,1011.9,3.6,14.4
"Row6531",0.9004,0.0,1015.9,4.6,13.3
"Row5032",0.6301,0.0,1018.3,7.7,18.9
"Row16694",0.7995,0.0,1024.4,5.7,10.0
"Row2162",,0.0,1016.6,2.1,9.4
"Row14356",,0.0,1016.7917365478716,,13.9
"Row15306",0.7778,0.0,1009.8,9.3,16.7
"Row9193",0.8974,0.0,1016.9,1.5,9.4
"Row14732",0.8941,0.0,1015.6,8.2,12.8
"Row3246",0.8927,0.0,,3.1,11.1
"Row5826",0.4766,0.0,,5.2,22.8
"Row15509",0.867,0.0,1014.9,2.1,15.0
"Row12697",0.8295,0.0,,6.7,11.7
"Row7148",0.4234,0.0,1015.6,7.2,21.1
"Row14494",0.8664,0.0,1016.9,5.7,14.4
"Row8043",0.9669,0.0,1029.1,1.5,9.4
"Row6552",0.8664,0.0,1019.0,,14.4
"Row465",0.9305,0.8,1021.0,7.7,13.3
"Row15829",0.3672,,1015.2,2.6,22.2
"Row4486",0.9305,0.0,,5.7,13.3
"Row9652",0.9297,0.0,1002.0,3.6,11.7
"Row9724",1.0,0.3,,2.6,10.0
"Row5527",0.8664,0.0,,4.6,14.4
"Row3197",0.8301,0.0,1017.3,4.6,12.2
"Row13008",0.7429,0.0,1013.5,6.2,13.9
"Row8759",0.9281,0.0,1023.4,1.5,8.9
"Row15951",0.7497,,1021.0,3.1,17.8
"Row7113",0.8336,0.0,1018.3,1.5,15.0
"Row8147",0.6399,0.0,1020.7,6.2,13.9
"Row17053",0.743,0.0,1015.6,6.2,11.1
"Row15420",0.6082,0.0,1014.6,2.6,18.3
"Row17029",0.745,0.0,1018.6,2.6,12.2
"Row7559",0.6143,0.0,1011.2,,12.2
"Row4424",0.6932,0.0,,1.5,15.6
"Row17150",0.8011,0.0,,3.6,11.1
"Row3533",0.8941,0.0,1013.9,2.6,12.8
"Row11205",0.8301,0.0,,5.7,12.2
"Row16010",0.8909,0.0,1019.6,2.1,8.9
"Row3059",0.4468,0.0,1019.0,,17.8
"Row9047",0.8899,,1027.4,2.1,7.8
"Row11442",0.6455,0.0,1015.9,8.8,14.4
"Row11353",0.8579,0.0,1020.3,,11.7
"Row13849",0.8659,0.0,1017.6,5.7,13.9
"Row12980",0.6678,0.0,1014.9,8.8,14.4
"Row14069",0.9012,0.0,1018.0,4.1,14.4
"Row3696",0.8384,0.0,1015.6,3.1,14.4
"Row16641",0.7699,0.0,1017.6,7.2,11.7
"Row10053",0.8568,0.0,1020.3,5.2,10.6
"Row3504",0.7517,0.0,1012.5,4.1,16.1
"Row2734",0.8042,0.0,1021.0,4.1,13.3
"Row2670",0.8026,0.0,1019.6,6.7,12.2
"Row5049",0.7245,0.0,1018.6,2.1,17.2
"Row6965",,0.0,1016.3,2.6,10.0
"Row14498",0.8958,0.0,1017.3,8.2,15.0
"Row1992",0.7995,0.0,1014.2,2.6,10.0
"Row2477",0.8927,0.0,1015.9,4.6,11.1
"Row61",0.3681,0.0,1024.0,2.6,8.3
"Row68",0.6491,0.0,1022.7,0.0,6.1
"Row16674",0.6827,0.0,1026.4,,8.3
"Row9512",0.889,0.0,1026.8,1.5,6.7
"Row17172",0.8608,0.0,1021.0,,8.9
"Row11987",0.5542,0.0,1017.6,5.7,15.6
"Row15777",0.8918,0.0,1020.3,0.0,10.0
"Row4240",0.4473,,,10.3,23.3
"Row6113",0.5858,0.0,1006.8,13.9,18.9
"Row13566",0.8057,0.0,1017.3,2.1,14.4
"Row1861",0.7761,0.0,,2.6,15.6
"Row169",0.9278,1.5,1004.1,5.2,8.3
"Row13396",0.8631,0.0,,2.6,11.1
"Row9962",0.8899,0.0,1010.8,2.6,7.8
"Row775",,0.0,1020.7,2.6,7.2
"Row6583",0.9299,0.0,1016.9,,12.2
"Row7163",0.2122,0.0,,3.6,26.1
"Row11631",0.5961,0.0,1016.7917365478716,9.3,15.0
"Row2732",0.805,0.0,1020.7,7.7,13.9
"Row10898",0.862,0.0,1024.0,4.6,10.0
"Row10946",0.9293,0.0,,,11.1
"Row4769",0.5858,0.0,1016.3,8.8,18.9
"Row8842",0.8918,0.3,1022.7,2.1,10.0
"Row16211",0.8371,0.0,1017.3,4.6,13.3
"Row4425",0.6488,0.0,1007.8,3.6,17.8
"Row12760",0.6208,0.0,,9.8,16.7
