"row ID","Temperature (C)"
"Row236",5.6
"Row237",6.7
"Row238",5.0
"Row239",4.4
"Row240",3.9
"Row241",3.9
"Row242",3.3
"Row243",2.8
"Row244",2.2
"Row245",2.8
"Row246",1.7
"Row247",3.3
"Row248",3.9
"Row249",5.6
"Row250",6.1
"Row251",7.8
"Row252",7.8
"Row253",9.4
"Row254",8.9
"Row255",8.3
"Row256",8.9
"Row257",8.3
"Row258",8.3
"Row259",7.8
"Row260",7.2
"Row261",7.2
"Row262",5.0
"Row263",5.0
"Row264",5.0
"Row265",4.4
"Row266",5.6
"Row267",5.6
"Row268",5.6
"Row269",4.4
"Row270",4.4
"Row271",4.4
"Row272",4.4
"Row273",5.0
"Row274",5.6
"Row275",5.0
"Row276",5.0
"Row277",5.0
"Row278",5.0
"Row279",5.0
"Row280",5.0
"Row281",5.6
"Row282",6.1
"Row283",6.7
"Row284",6.7
"Row285",7.8
"Row286",10.0
"Row287",14.4
"Row288",14.4
"Row289",14.4
"Row290",14.4
"Row291",13.9
"Row292",13.3
"Row293",13.3
"Row294",13.3
"Row295",13.3
"Row296",13.3
"Row297",13.3
"Row298",13.3
"Row299",14.4
"Row300",15.6
"Row301",13.9
"Row302",13.9
"Row303",13.3
"Row304",12.8
"Row305",12.8
"Row306",12.8
"Row307",12.8
"Row308",11.7
"Row309",11.7
"Row310",11.7
"Row311",11.7
"Row312",11.1
"Row313",11.7
"Row314",10.6
"Row315",10.6
"Row316",10.0
"Row317",10.0
"Row318",10.0
"Row319",9.4
"Row320",9.4
"Row321",10.6
"Row322",11.1
"Row323",11.7
"Row324",11.1
"Row325",13.3
"Row326",13.3
"Row327",13.9
"Row328",12.8
"Row329",12.2
"Row330",11.1
"Row331",10.6
"Row332",10.0
"Row333",9.4
"Row334",8.3
"Row335",7.2
"Row336",7.2
"Row337",7.2
"Row338",7.8
"Row339",7.8
"Row340",8.3
"Row341",7.8
"Row342",8.3
"Row343",8.9
"Row344",8.9
"Row345",8.9
"Row346",9.4
"Row347",9.4
"Row348",10.0
"Row349",10.6
"Row350",10.0
"Row351",11.7
"Row352",11.7
"Row353",11.7
"Row354",12.2
"Row355",12.2
"Row356",12.2
"Row357",11.7
"Row358",11.7
"Row359",11.1
"Row360",10.6
"Row361",10.0
"Row362",9.4
"Row363",9.4
"Row364",8.3
"Row365",7.8
"Row366",7.2
"Row367",6.1
"Row368",5.6
"Row369",7.8
"Row370",9.4
"Row371",10.6
"Row372",10.6
"Row373",11.1
"Row374",10.6
"Row375",11.7
"Row376",11.7
"Row377",11.7
"Row378",11.1
"Row379",10.6
"Row380",11.1
"Row381",10.6
"Row382",10.6
"Row383",10.6
"Row384",8.9
"Row385",8.3
"Row386",7.2
"Row387",8.3
"Row388",6.7
"Row389",7.8
"Row390",8.3
"Row391",8.3
"Row392",8.9
"Row393",8.9
"Row394",8.3
"Row395",8.9
"Row396",9.4
"Row397",10.0
"Row398",11.1
"Row399",12.2
"Row400",11.7
"Row401",11.1
"Row402",10.0
"Row403",10.0
"Row404",10.0
"Row405",9.4
"Row406",9.4
"Row407",9.4
"Row408",9.4
"Row409",8.9
"Row410",8.9
"Row411",8.9
"Row412",8.9
"Row413",8.9
"Row414",8.9
"Row415",8.9
"Row416",9.4
"Row417",9.4
"Row418",9.4
"Row419",10.0
"Row420",11.7
"Row421",11.7
"Row422",11.7
"Row423",12.2
"Row424",11.7
"Row425",11.7
"Row426",11.1
"Row427",10.6
"Row428",10.6
"Row429",10.6
"Row430",10.6
"Row431",10.0
"Row432",9.4
"Row433",9.4
"Row434",8.3
"Row435",8.3
"Row436",8.3
"Row437",8.3
"Row438",8.3
"Row439",8.9
"Row440",9.4
"Row441",10.0
"Row442",11.1
"Row443",11.7
"Row444",12.2
"Row445",12.2
"Row446",11.7
"Row447",11.7
"Row448",12.2
"Row449",11.7
"Row450",11.1
"Row451",10.6
"Row452",10.6
"Row453",11.1
"Row454",11.7
"Row455",11.7
"Row456",12.8
"Row457",13.3
"Row458",12.2
"Row459",11.7
"Row460",11.7
"Row461",11.7
"Row462",11.7
"Row463",12.8
"Row464",13.3
"Row465",13.3
"Row466",13.3
"Row467",13.9
"Row468",14.4
"Row469",14.4
"Row470",14.4
"Row471",15.0
"Row472",15.0
"Row473",14.4
"Row474",12.8
"Row475",13.3
"Row476",12.2
"Row477",12.2
"Row478",12.8
"Row479",12.2
"Row480",12.2
"Row481",11.7
"Row482",11.7
"Row483",11.7
"Row484",10.6
"Row485",10.6
"Row486",10.0
"Row487",10.0
"Row488",10.0
"Row489",10.6
"Row490",11.1
"Row491",11.7
"Row492",12.2
"Row493",15.6
"Row494",15.6
"Row495",15.6
"Row496",15.0
"Row497",15.0
"Row498",15.0
"Row499",14.4
"Row500",15.0
"Row501",15.0
"Row502",13.3
"Row503",12.8
"Row504",12.2
"Row505",11.7
"Row506",11.7
"Row507",11.1
"Row508",10.6
"Row509",9.4
"Row510",8.9
"Row511",8.9
"Row512",8.9
"Row513",10.6
"Row514",11.7
"Row515",12.2
"Row516",12.2
"Row517",13.3
"Row518",13.3
"Row519",13.3
"Row520",13.3
"Row521",12.8
"Row522",11.7
"Row523",11.1
"Row524",11.1
"Row525",10.6
"Row526",10.0
"Row527",9.4
"Row528",9.4
"Row529",8.3
"Row530",6.7
"Row531",6.1
"Row532",5.6
"Row533",5.6
"Row534",5.6
"Row535",6.1
"Row536",6.7
"Row537",7.8
"Row538",9.4
"Row539",11.1
"Row540",12.2
"Row541",12.2
"Row542",12.2
"Row543",12.2
"Row544",12.2
"Row545",11.7
"Row546",10.6
"Row547",10.0
"Row548",10.0
"Row549",8.9
"Row550",7.8
"Row551",7.8
"Row552",6.7
"Row553",7.2
"Row554",6.1
"Row555",5.6
"Row556",6.1
"Row557",6.7
"Row558",7.2
"Row559",6.7
"Row560",7.8
"Row561",8.3
"Row562",10.6
"Row563",12.8
"Row564",13.3
"Row565",13.3
"Row566",12.8
"Row567",13.9
"Row568",13.3
"Row569",13.9
"Row570",12.2
"Row571",10.6
"Row572",10.0
"Row573",10.0
"Row574",9.4
"Row575",8.9
"Row576",8.3
"Row577",7.2
"Row578",7.8
"Row579",5.6
"Row580",6.7
"Row581",8.9
"Row582",6.7
"Row583",6.7
"Row584",7.2
"Row585",9.4
"Row586",11.1
"Row587",12.2
"Row588",13.3
"Row589",14.4
"Row590",15.0
"Row591",16.1
"Row592",16.1
"Row593",14.4
"Row594",13.3
"Row595",11.1
"Row596",11.1
"Row597",9.4
"Row598",8.9
"Row599",7.8
"Row600",6.7
"Row601",7.2
"Row602",7.2
"Row603",6.1
"Row604",5.6
"Row605",5.6
"Row606",4.4
"Row607",5.6
"Row608",5.0
"Row609",8.9
"Row610",11.7
"Row611",12.2
"Row612",14.4
"Row613",16.1
"Row614",16.1
"Row615",17.8
"Row616",17.2
"Row617",15.0
"Row618",13.3
"Row619",12.8
"Row620",11.1
"Row621",11.7
"Row622",11.1
"Row623",8.3
"Row624",10.0
"Row625",9.4
"Row626",7.2
"Row627",7.2
"Row628",8.9
"Row629",7.8
"Row630",5.6
"Row631",6.1
"Row632",7.8
"Row633",8.9
"Row634",10.6
"Row635",11.7
"Row636",12.2
"Row637",12.8
"Row638",12.8
"Row639",13.3
"Row640",13.3
"Row641",12.2
"Row642",11.1
"Row643",10.6
"Row644",10.0
"Row645",10.0
"Row646",9.4
"Row647",8.3
"Row648",7.8
"Row649",6.7
"Row650",6.7
"Row651",6.7
"Row652",7.2
"Row653",7.2
"Row654",7.8
"Row655",7.2
"Row656",7.2
"Row657",8.3
"Row658",9.4
"Row659",10.6
"Row660",10.6
"Row661",11.7
"Row662",12.8
"Row663",13.3
"Row664",13.9
"Row665",13.3
"Row666",12.8
"Row667",11.1
"Row668",10.6
"Row669",10.0
"Row670",9.4
"Row671",8.3
"Row672",8.9
"Row673",7.8
"Row674",7.2
"Row675",6.7
"Row676",7.2
"Row677",6.7
"Row678",5.6
"Row679",6.7
"Row680",6.7
"Row681",10.0
"Row682",11.1
"Row683",12.2
"Row684",13.3
"Row685",15.6
"Row686",17.2
"Row687",17.8
"Row688",17.2
"Row689",15.6
"Row690",15.0
"Row691",14.4
"Row692",13.9
"Row693",13.9
"Row694",13.3
"Row695",12.8
"Row696",12.2
"Row697",12.2
"Row698",12.2
"Row699",12.8
"Row700",11.7
"Row701",11.7
"Row702",11.7
"Row703",11.7
"Row704",11.1
"Row705",11.7
"Row706",13.3
"Row707",13.9
"Row708",14.4
"Row709",15.0
"Row710",16.1
"Row711",17.2
"Row712",16.7
"Row713",15.6
"Row714",13.9
"Row715",12.2
"Row716",11.7
"Row717",10.6
"Row718",10.6
"Row719",8.9
"Row720",7.8
"Row721",7.8
"Row722",7.2
"Row723",6.1
"Row724",7.2
"Row725",7.2
"Row726",5.6
"Row727",5.6
"Row728",7.8
"Row729",9.4
"Row730",11.1
"Row731",11.1
"Row732",11.7
"Row733",13.3
"Row734",13.3
"Row735",15.0
"Row736",16.7
"Row737",15.0
"Row738",12.8
"Row739",11.7
"Row740",11.7
"Row741",10.6
"Row742",8.9
"Row743",8.3
"Row744",7.8
"Row745",7.2
"Row746",7.2
"Row747",6.7
"Row748",6.1
"Row749",6.1
"Row750",5.6
"Row751",6.7
"Row752",6.7
"Row753",9.4
"Row754",10.6
"Row755",11.7
"Row756",13.3
"Row757",12.8
"Row758",13.9
"Row759",16.1
"Row760",16.7
"Row761",14.4
"Row762",13.9
"Row763",12.8
"Row764",11.7
"Row765",11.7
"Row766",11.1
"Row767",10.0
"Row768",9.4
"Row769",7.8
"Row770",8.3
"Row771",7.2
"Row772",7.8
"Row773",7.8
"Row774",7.2
"Row775",7.2
"Row776",7.8
"Row777",9.4
"Row778",11.7
"Row779",13.9
"Row780",15.0
"Row781",14.4
"Row782",13.9
"Row783",15.0
"Row784",14.4
"Row785",13.3
"Row786",13.9
"Row787",12.8
"Row788",12.2
"Row789",11.7
"Row790",12.2
"Row791",11.1
"Row792",11.7
"Row793",10.6
"Row794",10.6
"Row795",10.0
"Row796",9.4
"Row797",10.0
"Row798",10.0
"Row799",10.0
"Row800",10.6
"Row801",11.1
"Row802",12.2
"Row803",12.2
"Row804",13.3
"Row805",12.8
"Row806",13.9
"Row807",12.8
"Row808",12.2
"Row809",13.9
"Row810",12.8
"Row811",11.7
"Row812",11.7
"Row813",11.7
"Row814",11.7
"Row815",11.1
"Row816",10.6
"Row817",10.6
"Row818",11.1
"Row819",9.4
"Row820",9.4
"Row821",9.4
"Row822",9.4
"Row823",9.4
"Row824",9.4
"Row825",12.2
"Row826",13.9
"Row827",15.0
"Row828",16.1
"Row829",15.6
"Row830",15.0
"Row831",15.0
"Row832",15.0
"Row833",14.4
"Row834",14.4
"Row835",14.4
"Row836",15.6
"Row837",16.1
"Row838",16.1
"Row839",17.2
"Row840",17.2
"Row841",13.3
"Row842",12.2
"Row843",13.3
"Row844",12.8
"Row845",11.7
"Row846",12.2
"Row847",12.2
"Row848",12.2
"Row849",13.3
"Row850",15.0
"Row851",16.7
"Row852",17.8
"Row853",16.7
"Row854",16.1
"Row855",17.2
"Row856",18.3
"Row857",15.6
"Row858",13.9
"Row859",14.4
"Row860",14.4
"Row861",13.3
"Row862",12.2
"Row863",11.7
"Row864",11.1
"Row865",11.7
"Row866",11.1
"Row867",10.6
"Row868",11.1
"Row869",10.0
"Row870",10.6
"Row871",10.6
"Row872",11.1
"Row873",11.7
"Row874",12.8
"Row875",13.9
"Row876",15.0
"Row877",15.6
"Row878",15.6
"Row879",15.0
"Row880",15.0
"Row881",15.6
"Row882",16.1
"Row883",15.0
"Row884",13.9
"Row885",15.0
"Row886",11.7
"Row887",11.1
"Row888",11.1
"Row889",10.6
"Row890",10.6
"Row891",10.6
"Row892",10.6
"Row893",11.1
"Row894",10.6
"Row895",10.6
"Row896",10.6
"Row897",12.2
"Row898",12.2
"Row899",13.3
"Row900",13.9
"Row901",13.9
"Row902",13.3
"Row903",12.8
"Row904",13.3
"Row905",13.3
"Row906",13.3
"Row907",13.3
"Row908",13.9
"Row909",13.9
"Row910",13.9
"Row911",13.9
"Row912",13.3
"Row913",13.3
"Row914",13.3
"Row915",13.3
"Row916",12.8
"Row917",12.8
"Row918",12.2
"Row919",12.2
"Row920",12.2
"Row921",13.3
"Row922",13.3
"Row923",12.8
"Row924",13.3
"Row925",13.9
"Row926",13.3
"Row927",13.9
"Row928",13.3
"Row929",13.3
"Row930",12.8
"Row931",12.2
"Row932",12.2
"Row933",11.7
"Row934",11.1
"Row935",11.1
"Row936",11.1
"Row937",10.6
"Row938",10.6
"Row939",10.0
"Row940",9.4
"Row941",9.4
"Row942",8.9
"Row943",8.9
"Row944",10.6
"Row945",10.0
"Row946",10.6
"Row947",12.2
"Row948",12.2
"Row949",13.3
"Row950",14.4
"Row951",13.3
"Row952",13.9
"Row953",12.8
"Row954",12.2
"Row955",11.1
"Row956",10.6
"Row957",10.0
"Row958",9.4
"Row959",9.4
"Row960",8.9
"Row961",8.9
"Row962",8.9
"Row963",8.9
"Row964",8.3
"Row965",7.8
"Row966",7.2
"Row967",7.2
"Row968",7.8
"Row969",9.4
"Row970",11.7
"Row971",12.2
"Row972",13.3
"Row973",13.3
"Row974",13.9
"Row975",13.9
"Row976",13.9
"Row977",13.9
"Row978",13.9
"Row979",13.3
"Row980",12.8
"Row981",12.8
"Row982",10.6
"Row983",11.1
"Row984",11.7
"Row985",13.3
"Row986",12.8
"Row987",11.7
"Row988",11.7
"Row989",10.6
"Row990",10.6
"Row991",10.6
"Row992",10.6
"Row993",12.2
"Row994",13.9
"Row995",13.9
"Row996",14.4
"Row997",14.4
"Row998",15.0
"Row999",14.4
"Row1000",14.4
"Row1001",13.3
"Row1002",12.2
"Row1003",11.7
"Row1004",11.1
"Row1005",11.1
"Row1006",11.7
"Row1007",11.1
"Row1008",10.0
"Row1009",10.0
"Row1010",9.4
"Row1011",9.4
"Row1012",8.9
"Row1013",7.8
"Row1014",7.8
"Row1015",6.7
"Row1016",7.8
"Row1017",10.6
"Row1018",12.2
"Row1019",12.2
"Row1020",12.8
"Row1021",12.2
"Row1022",12.8
"Row1023",12.8
"Row1024",13.9
"Row1025",12.8
"Row1026",11.1
"Row1027",11.1
"Row1028",10.6
"Row1029",10.6
"Row1030",9.4
"Row1031",8.3
"Row1032",9.4
"Row1033",7.8
"Row1034",7.2
"Row1035",7.2
"Row1036",6.1
"Row1037",7.8
"Row1038",8.3
"Row1039",8.9
"Row1040",9.4
"Row1041",10.6
"Row1042",11.7
"Row1043",11.1
"Row1044",12.8
"Row1045",13.9
"Row1046",15.0
"Row1047",15.0
"Row1048",14.4
"Row1049",13.3
"Row1050",12.2
"Row1051",11.7
"Row1052",11.7
"Row1053",10.6
"Row1054",10.0
"Row1055",10.0
"Row1056",8.3
"Row1057",7.8
"Row1058",7.8
"Row1059",7.2
"Row1060",6.7
"Row1061",6.1
"Row1062",6.1
"Row1063",6.1
"Row1064",7.2
"Row1065",10.0
"Row1066",11.1
"Row1067",13.3
"Row1068",14.4
"Row1069",14.4
"Row1070",15.0
"Row1071",16.1
"Row1072",16.1
"Row1073",13.9
"Row1074",12.2
"Row1075",11.7
"Row1076",11.7
"Row1077",10.6
"Row1078",11.1
"Row1079",9.4
"Row1080",8.9
"Row1081",8.3
"Row1082",8.3
"Row1083",7.8
"Row1084",7.8
"Row1085",8.3
"Row1086",8.3
"Row1087",8.9
"Row1088",8.3
"Row1089",11.7
"Row1090",12.8
"Row1091",12.8
"Row1092",13.9
"Row1093",14.4
"Row1094",13.9
"Row1095",12.2
"Row1096",11.7
"Row1097",11.7
"Row1098",11.1
"Row1099",11.1
"Row1100",11.1
"Row1101",10.6
"Row1102",10.6
"Row1103",10.6
"Row1104",10.6
"Row1105",10.6
"Row1106",10.0
"Row1107",10.0
"Row1108",10.0
"Row1109",10.0
"Row1110",9.4
"Row1111",9.4
"Row1112",9.4
"Row1113",10.0
"Row1114",11.7
"Row1115",11.1
"Row1116",11.7
"Row1117",11.7
"Row1118",12.2
"Row1119",10.0
"Row1120",10.0
"Row1121",10.0
"Row1122",9.4
"Row1123",9.4
"Row1124",9.4
"Row1125",8.9
"Row1126",8.9
"Row1127",8.9
"Row1128",9.4
"Row1129",9.4
"Row1130",9.4
"Row1131",9.4
"Row1132",9.4
"Row1133",9.4
"Row1134",9.4
"Row1135",10.0
"Row1136",10.0
"Row1137",10.0
"Row1138",11.1
"Row1139",11.1
"Row1140",11.7
"Row1141",12.2
"Row1142",12.8
"Row1143",13.9
"Row1144",15.6
"Row1145",13.9
"Row1146",13.9
"Row1147",14.4
"Row1148",14.4
"Row1149",13.3
"Row1150",12.8
"Row1151",12.8
"Row1152",12.8
"Row1153",12.2
"Row1154",12.2
"Row1155",11.7
"Row1156",11.7
"Row1157",11.7
"Row1158",11.7
"Row1159",11.7
"Row1160",11.7
"Row1161",11.7
"Row1162",12.8
"Row1163",13.3
"Row1164",14.4
"Row1165",13.9
"Row1166",14.4
"Row1167",15.6
"Row1168",15.0
"Row1169",16.7
"Row1170",15.6
"Row1171",15.6
"Row1172",13.9
"Row1173",13.3
"Row1174",12.8
"Row1175",14.4
"Row1176",14.4
"Row1177",14.4
"Row1178",13.3
"Row1179",13.9
"Row1180",12.8
"Row1181",12.2
"Row1182",12.8
"Row1183",12.8
"Row1184",12.8
"Row1185",13.3
"Row1186",13.3
"Row1187",13.9
"Row1188",15.0
"Row1189",15.0
"Row1190",15.0
"Row1191",13.9
"Row1192",11.7
"Row1193",11.1
"Row1194",10.0
"Row1195",9.4
"Row1196",9.4
"Row1197",9.4
"Row1198",9.4
"Row1199",9.4
"Row1200",7.8
"Row1201",7.8
"Row1202",7.2
"Row1203",7.8
"Row1204",7.8
"Row1205",8.3
"Row1206",8.3
"Row1207",7.8
"Row1208",8.9
"Row1209",10.0
"Row1210",10.0
"Row1211",11.7
"Row1212",12.2
"Row1213",12.8
"Row1214",11.7
"Row1215",11.1
"Row1216",11.1
"Row1217",10.6
"Row1218",10.0
"Row1219",9.4
"Row1220",10.0
"Row1221",10.0
"Row1222",9.4
"Row1223",9.4
"Row1224",9.4
"Row1225",9.4
"Row1226",8.3
"Row1227",7.2
"Row1228",7.8
"Row1229",8.3
"Row1230",7.8
"Row1231",7.8
"Row1232",7.8
"Row1233",9.4
"Row1234",11.1
"Row1235",13.3
"Row1236",12.2
"Row1237",13.3
"Row1238",13.3
"Row1239",13.9
"Row1240",11.7
"Row1241",12.2
"Row1242",11.1
"Row1243",10.0
"Row1244",9.4
"Row1245",9.4
"Row1246",8.9
"Row1247",7.8
"Row1248",8.3
"Row1249",8.9
"Row1250",8.9
"Row1251",8.3
"Row1252",7.8
"Row1253",7.8
"Row1254",7.8
"Row1255",8.3
"Row1256",8.9
"Row1257",8.9
"Row1258",10.6
"Row1259",9.4
"Row1260",10.0
"Row1261",11.1
"Row1262",11.7
"Row1263",11.7
"Row1264",12.8
"Row1265",12.8
"Row1266",13.3
"Row1267",12.8
"Row1268",12.2
"Row1269",12.2
"Row1270",12.2
"Row1271",12.2
"Row1272",12.8
"Row1273",11.7
"Row1274",11.7
"Row1275",11.1
"Row1276",11.1
"Row1277",11.1
"Row1278",9.4
"Row1279",10.0
"Row1280",10.0
"Row1281",11.1
"Row1282",11.7
"Row1283",11.1
"Row1284",12.2
"Row1285",12.8
"Row1286",12.8
"Row1287",12.8
"Row1288",12.2
"Row1289",11.7
"Row1290",11.7
"Row1291",11.1
"Row1292",11.1
"Row1293",10.6
"Row1294",10.0
"Row1295",10.0
"Row1296",9.4
"Row1297",8.9
"Row1298",9.4
"Row1299",8.3
"Row1300",8.3
"Row1301",7.2
"Row1302",7.8
"Row1303",7.2
"Row1304",8.3
"Row1305",10.0
"Row1306",10.0
"Row1307",11.1
"Row1308",11.7
"Row1309",12.2
"Row1310",11.7
"Row1311",11.7
"Row1312",10.6
"Row1313",10.0
"Row1314",9.4
"Row1315",9.4
"Row1316",8.9
"Row1317",8.9
"Row1318",8.9
"Row1319",8.3
"Row1320",8.3
"Row1321",8.3
"Row1322",7.8
"Row1323",7.8
"Row1324",8.3
"Row1325",7.2
"Row1326",7.2
"Row1327",6.1
"Row1328",6.7
"Row1329",8.9
"Row1330",9.4
"Row1331",10.0
"Row1332",10.6
"Row1333",11.1
"Row1334",10.6
"Row1335",10.6
"Row1336",9.4
"Row1337",8.9
"Row1338",8.9
"Row1339",8.9
"Row1340",8.9
"Row1341",9.4
"Row1342",8.9
"Row1343",8.9
"Row1344",8.9
"Row1345",8.3
"Row1346",7.8
"Row1347",7.8
"Row1348",7.8
"Row1349",7.8
"Row1350",7.8
"Row1351",7.8
"Row1352",7.8
"Row1353",8.9
"Row1354",8.9
"Row1355",10.0
"Row1356",10.6
"Row1357",11.1
"Row1358",11.7
"Row1359",11.1
"Row1360",11.1
"Row1361",10.6
"Row1362",9.4
"Row1363",9.4
"Row1364",9.4
"Row1365",9.4
"Row1366",9.4
"Row1367",9.4
"Row1368",9.4
"Row1369",8.9
"Row1370",8.9
"Row1371",8.9
"Row1372",9.4
"Row1373",8.9
"Row1374",8.3
"Row1375",7.2
"Row1376",7.8
"Row1377",9.4
"Row1378",11.1
"Row1379",12.8
"Row1380",12.8
"Row1381",13.9
"Row1382",15.6
"Row1383",16.1
"Row1384",14.4
"Row1385",13.3
"Row1386",12.2
"Row1387",11.1
"Row1388",10.6
"Row1389",10.6
"Row1390",10.0
"Row1391",9.4
"Row1392",8.9
"Row1393",7.8
"Row1394",8.9
"Row1395",7.2
"Row1396",6.7
"Row1397",6.7
"Row1398",6.7
"Row1399",6.7
"Row1400",7.8
"Row1401",10.6
"Row1402",11.7
"Row1403",12.8
"Row1404",13.3
"Row1405",14.4
"Row1406",15.0
"Row1407",14.4
"Row1408",13.9
"Row1409",12.8
"Row1410",11.1
"Row1411",10.6
"Row1412",11.1
"Row1413",10.6
"Row1414",10.0
"Row1415",10.0
"Row1416",9.4
"Row1417",9.4
"Row1418",8.9
"Row1419",10.0
"Row1420",10.6
"Row1421",10.0
"Row1422",10.0
"Row1423",9.4
"Row1424",10.6
"Row1425",12.2
"Row1426",13.9
"Row1427",13.9
"Row1428",15.0
"Row1429",14.4
"Row1430",13.9
"Row1431",14.4
"Row1432",13.3
"Row1433",12.8
"Row1434",12.2
"Row1435",11.1
"Row1436",10.6
"Row1437",10.6
"Row1438",10.6
"Row1439",9.4
"Row1440",8.9
"Row1441",8.9
"Row1442",8.3
"Row1443",8.3
"Row1444",7.8
"Row1445",8.3
"Row1446",7.2
"Row1447",7.8
"Row1448",9.4
"Row1449",10.6
"Row1450",12.2
"Row1451",12.8
"Row1452",13.3
"Row1453",14.4
"Row1454",15.0
"Row1455",15.6
"Row1456",16.7
"Row1457",15.0
"Row1458",13.9
"Row1459",13.3
"Row1460",12.8
"Row1461",12.2
"Row1462",12.8
"Row1463",12.8
"Row1464",12.8
"Row1465",12.8
"Row1466",12.8
"Row1467",12.2
"Row1468",11.7
"Row1469",11.7
"Row1470",11.7
"Row1471",11.7
"Row1472",12.8
"Row1473",13.3
"Row1474",14.4
"Row1475",15.0
"Row1476",16.1
"Row1477",16.7
"Row1478",16.7
"Row1479",15.6
"Row1480",15.0
"Row1481",14.4
"Row1482",13.3
"Row1483",12.8
"Row1484",12.2
"Row1485",12.2
"Row1486",12.2
"Row1487",11.7
"Row1488",11.7
"Row1489",11.7
"Row1490",11.1
"Row1491",10.0
"Row1492",10.0
"Row1493",10.0
"Row1494",10.0
"Row1495",8.3
"Row1496",10.6
