"row ID","Humidity Fraction","Precipitation One Hour (mm)","Pressure Altimeter (mbar)","Temperature (C)","Wind Speed (m/s)","Date and time"
"Row125",0.888,0.5,1008.5,5.6,8.8,"1993-01-06T05:00:00"
"Row126",0.888,1.3,1008.1,5.6,10.8,"1993-01-06T06:00:00"
"Row127",0.9589,1.5,1007.8,5.0,4.6,"1993-01-06T07:00:00"
"Row128",0.9198,0.5,1007.5,5.6,4.6,"1993-01-06T08:00:00"
"Row129",0.9591,1.0,1007.5,5.6,4.1,"1993-01-06T09:00:00"
"Row130",0.9591,0.8,1007.5,5.6,5.7,"1993-01-06T10:00:00"
"Row131",0.9265,0.8,1007.1,6.1,5.2,"1993-01-06T11:00:00"
"Row132",0.9269,1.3,1006.1,6.7,7.2,"1993-01-06T12:00:00"
"Row133",0.789,1.3,1004.7,6.7,7.7,"1993-01-06T13:00:00"
"Row134",0.7359,0.5,1003.7,7.2,7.2,"1993-01-06T14:00:00"
"Row135",0.6018,4.3,1002.7,7.2,8.8,"1993-01-06T15:00:00"
"Row136",0.6018,0.5,1002.4,7.2,7.2,"1993-01-06T16:00:00"
"Row137",0.5761,3.0,1002.0,7.2,4.1,"1993-01-06T17:00:00"
"Row138",0.9275,0.3,1001.0,7.8,5.2,"1993-01-06T18:00:00"
"Row139",0.9599,2.3,1000.3,7.8,3.1,"1993-01-06T19:00:00"
"Row140",0.9599,8.1,1000.3,7.8,2.6,"1993-01-06T20:00:00"
"Row141",0.9666,4.8,1000.0,8.3,5.2,"1993-01-06T21:00:00"
"Row142",0.9666,10.9,999.7,8.3,4.1,"1993-01-06T22:00:00"
"Row143",1.0,10.4,1000.0,8.9,2.1,"1993-01-06T23:00:00"
"Row144",0.8568,3.3,1000.7,10.6,3.6,"1993-01-07T00:00:00"
"Row145",0.9679,1.0,1000.7,13.3,10.3,"1993-01-07T01:00:00"
"Row146",0.9299,0.0,1001.7,12.2,7.2,"1993-01-07T02:00:00"
"Row147",0.8932,0.0,1003.4,11.7,7.2,"1993-01-07T03:00:00"
"Row148",0.9673,0.3,1004.1,11.1,6.2,"1993-01-07T04:00:00"
"Row149",0.8631,0.0,1004.4,11.1,5.7,"1993-01-07T05:00:00"
"Row150",0.8631,0.0,1004.4,11.1,5.7,"1993-01-07T06:00:00"
"Row151",0.8295,0.0,1005.4,11.7,8.2,"1993-01-07T07:00:00"
"Row152",0.8288,0.0,1005.4,11.1,5.2,"1993-01-07T08:00:00"
"Row153",0.8631,0.0,1006.1,11.1,4.1,"1993-01-07T09:00:00"
"Row154",0.8026,0.0,1006.4,12.2,4.1,"1993-01-07T10:00:00"
"Row155",0.8026,0.0,1006.1,12.2,5.7,"1993-01-07T11:00:00"
"Row156",0.9287,10.9,1005.4,10.0,2.1,"1993-01-07T12:00:00"
"Row157",0.8918,3.8,1004.4,10.0,2.1,"1993-01-07T13:00:00"
"Row158",0.9284,2.5,1003.7,9.4,4.6,"1993-01-07T14:00:00"
"Row159",0.862,0.3,1002.7,10.0,4.1,"1993-01-07T15:00:00"
"Row160",0.8274,0.0,1016.7917365478716,10.0,4.6,"1993-01-07T16:00:00"
"Row161",0.862,0.5,1002.4,10.0,3.1,"1993-01-07T17:00:00"
"Row162",0.9281,0.0,1002.0,8.9,3.1,"1993-01-07T18:00:00"
"Row163",0.9284,0.0,1002.4,9.4,4.1,"1993-01-07T19:00:00"
"Row164",0.8323,0.0,1002.4,9.4,4.1,"1993-01-07T20:00:00"
"Row165",0.7986,0.3,1002.7,9.4,4.1,"1993-01-07T21:00:00"
"Row166",0.8274,0.0,1002.7,10.0,3.6,"1993-01-07T22:00:00"
"Row167",0.8974,0.3,1003.4,9.4,3.1,"1993-01-07T23:00:00"
"Row168",0.9281,1.3,1003.7,8.9,4.1,"1993-01-08T00:00:00"
"Row169",0.9278,1.5,1004.1,8.3,5.2,"1993-01-08T01:00:00"
"Row170",0.9666,1.0,1004.1,8.3,5.2,"1993-01-08T02:00:00"
"Row171",0.9599,0.3,1004.4,7.8,4.1,"1993-01-08T03:00:00"
"Row172",0.9666,0.0,1004.4,8.3,3.1,"1993-01-08T04:00:00"
"Row173",0.7634,0.0,1005.1,7.8,0.0,"1993-01-08T05:00:00"
"Row174",0.8245,0.0,1005.4,7.8,3.1,"1993-01-08T06:00:00"
"Row175",0.9663,0.0,1005.8,7.2,2.1,"1993-01-08T07:00:00"
"Row176",0.8245,0.0,1006.4,7.8,1.5,"1993-01-08T08:00:00"
"Row177",0.826,0.0,1007.1,8.9,1.5,"1993-01-08T09:00:00"
"Row178",0.8614,0.0,1007.8,9.4,2.6,"1993-01-08T10:00:00"
"Row179",0.8974,0.0,1008.5,9.4,3.1,"1993-01-08T11:00:00"
"Row180",0.8918,0.3,1007.8,10.0,2.1,"1993-01-08T12:00:00"
"Row181",0.8923,0.0,1007.1,10.6,3.1,"1993-01-08T13:00:00"
"Row182",0.7707,0.0,1006.4,12.2,5.7,"1993-01-08T14:00:00"
"Row183",0.7965,0.0,1006.8,11.7,6.7,"1993-01-08T15:00:00"
"Row184",0.9287,0.8,1007.5,10.0,9.3,"1993-01-08T16:00:00"
"Row185",0.9281,0.0621152418479811,1007.8,8.9,5.7,"1993-01-08T17:00:00"
"Row186",0.8323,0.0,1008.1,9.4,6.2,"1993-01-08T18:00:00"
"Row187",0.7986,0.0,1008.8,9.4,5.2,"1993-01-08T19:00:00"
"Row188",0.7979,0.0,1009.1,8.9,4.6,"1993-01-08T20:00:00"
"Row189",0.8899,0.0,1009.5,7.8,3.1,"1993-01-08T21:00:00"
"Row190",0.9275,0.3,1010.2,7.8,3.1,"1993-01-08T22:00:00"
"Row191",0.8899,0.8,1010.2,7.8,3.6,"1993-01-08T23:00:00"
"Row192",0.9272,0.0,1010.2,7.2,3.1,"1993-01-09T00:00:00"
"Row193",0.889,0.0,1010.2,6.7,2.1,"1993-01-09T01:00:00"
"Row194",0.9265,0.0,1010.2,6.1,3.1,"1993-01-09T02:00:00"
"Row195",0.9589,0.0,1010.2,5.0,2.1,"1993-01-09T03:00:00"
"Row196",0.9589,0.0,1010.2,5.0,3.1,"1993-01-09T04:00:00"
"Row197",0.789,0.5,1010.2,6.7,3.6,"1993-01-09T05:00:00"
"Row198",0.888,0.0,1009.8,5.6,2.1,"1993-01-09T06:00:00"
"Row199",0.9589,0.0,1010.2,5.0,1.5,"1993-01-09T07:00:00"
"Row200",0.9591,0.0,1010.5,5.6,2.6,"1993-01-09T08:00:00"
"Row201",0.9269,0.0,1010.8,6.7,2.1,"1993-01-09T09:00:00"
"Row202",0.8602,0.0,1011.2,8.3,2.1,"1993-01-09T10:00:00"
"Row203",0.826,0.0,1011.2,8.9,3.1,"1993-01-09T11:00:00"
"Row204",0.7671,0.0,1010.2,10.0,5.2,"1993-01-09T12:00:00"
"Row205",0.7671,0.0,1009.5,10.0,4.1,"1993-01-09T13:00:00"
"Row206",0.7995,0.0,1008.5,10.0,5.2,"1993-01-09T14:00:00"
"Row207",0.6828,0.0,1008.1,10.6,2.6,"1993-01-09T15:00:00"
"Row208",0.741,0.0,1008.1,10.0,4.6,"1993-01-09T16:00:00"
"Row209",0.7671,0.0,1007.8,10.0,3.6,"1993-01-09T17:00:00"
"Row210",0.7986,0.0,1007.5,9.4,4.1,"1993-01-09T18:00:00"
"Row211",0.8965,0.0,1007.5,8.3,3.1,"1993-01-09T19:00:00"
"Row212",0.8899,0.0,1007.1,7.8,2.1,"1993-01-09T20:00:00"
"Row213",0.8965,0.0,1007.1,8.3,2.6,"1993-01-09T21:00:00"
"Row214",0.9599,0.0,1007.1,7.8,3.1,"1993-01-09T22:00:00"
"Row215",0.9599,0.0,1007.1,7.8,3.6,"1993-01-09T23:00:00"
"Row216",0.9599,0.3,1006.8,7.8,2.1,"1993-01-10T00:00:00"
"Row217",0.9663,0.0,1006.8,7.2,2.1,"1993-01-10T01:00:00"
"Row218",0.9663,0.0,1007.1,7.2,2.1,"1993-01-10T02:00:00"
"Row219",0.9272,0.0,1006.8,7.2,3.1,"1993-01-10T03:00:00"
"Row220",0.966,0.0,1006.8,6.1,2.6,"1993-01-10T04:00:00"
"Row221",0.8208,0.0,1006.8,5.0,3.6,"1993-01-10T05:00:00"
"Row222",0.9255,0.0,1006.8,4.4,2.1,"1993-01-10T06:00:00"
"Row223",0.9252,0.0,1007.1,3.9,3.1,"1993-01-10T07:00:00"
"Row224",0.9652,0.0,1007.5,3.3,1.5,"1993-01-10T08:00:00"
"Row225",0.9265,0.0,1008.1,6.1,2.1,"1993-01-10T09:00:00"
"Row226",0.797,0.0,1016.7917365478716,8.3,3.1,"1993-01-10T10:00:00"
"Row227",0.7096,0.0,1008.5,9.4,3.1,"1993-01-10T11:00:00"
"Row228",0.7399,0.0,1007.8,9.4,3.6,"1993-01-10T12:00:00"
"Row229",0.7086,0.0,1007.5,8.9,9.3,"1993-01-10T13:00:00"
"Row230",0.585,0.0,1007.1,10.6,6.2,"1993-01-10T14:00:00"
"Row231",0.7907,0.5,1007.8,7.8,2.1,"1993-01-10T15:00:00"
"Row232",0.8231,0.5,1008.5,6.7,7.2,"1993-01-10T16:00:00"
"Row233",0.7954,0.8,1008.8,7.2,4.1,"1993-01-10T17:00:00"
"Row234",0.8885,0.3,1009.5,6.1,1.5,"1993-01-10T18:00:00"
"Row235",0.8578,0.0,1010.2,6.1,3.6,"1993-01-10T19:00:00"
"Row236",0.9198,0.0,1010.8,5.6,2.1,"1993-01-10T20:00:00"
"Row237",0.789,0.0,1011.9,6.7,3.1,"1993-01-10T21:00:00"
"Row238",0.9259,0.0,1016.7917365478716,5.0,3.1,"1993-01-10T22:00:00"
"Row239",0.9255,0.0,1012.9,4.4,3.6,"1993-01-10T23:00:00"
"Row240",0.9586,0.0,1013.5,3.9,2.6,"1993-01-11T00:00:00"
"Row241",0.9586,0.0,1013.9,3.9,3.1,"1993-01-11T01:00:00"
"Row242",0.9652,0.0,1014.6,3.3,2.1,"1993-01-11T02:00:00"
"Row243",0.9582,0.0,1015.2,2.8,2.6,"1993-01-11T03:00:00"
"Row244",0.9649,0.0,1015.2,2.2,2.1,"1993-01-11T04:00:00"
"Row245",0.7829,0.0,1015.6,2.8,0.0,"1993-01-11T05:00:00"
"Row246",0.9578,0.0,1016.3,1.7,1.5,"1993-01-11T06:00:00"
"Row247",1.0,0.0,1016.9,3.3,2.1,"1993-01-11T07:00:00"
"Row248",0.9586,0.0,1017.6,3.9,1.5,"1993-01-11T08:00:00"
"Row249",0.888,0.0,1018.3,5.6,2.1,"1993-01-11T09:00:00"
"Row250",0.8885,0.0,1019.6,6.1,2.1,"1993-01-11T10:00:00"
"Row251",0.7907,0.0,1020.0,7.8,2.6,"1993-01-11T11:00:00"
"Row252",0.7907,0.0,1019.6,7.8,3.1,"1993-01-11T12:00:00"
"Row253",0.7096,0.0,1019.3,9.4,2.6,"1993-01-11T13:00:00"
"Row254",0.7339,0.0,1019.0,8.9,2.6,"1993-01-11T14:00:00"
"Row255",0.8309,0.0,1019.0,8.3,3.1,"1993-01-11T15:00:00"
"Row256",0.7653,0.0,1018.6,8.9,2.6,"1993-01-11T16:00:00"
"Row257",0.797,0.0,1019.0,8.3,4.6,"1993-01-11T17:00:00"
"Row258",0.8309,0.0,1019.0,8.3,6.2,"1993-01-11T18:00:00"
"Row259",0.7634,0.0,1019.3,7.8,4.6,"1993-01-11T19:00:00"
"Row260",0.7954,0.0,1019.3,7.2,5.2,"1993-01-11T20:00:00"
"Row261",0.7954,0.0,1019.3,7.2,4.6,"1993-01-11T21:00:00"
"Row262",0.8875,0.0,1016.7917365478716,5.0,2.6,"1993-01-11T22:00:00"
"Row263",0.9259,0.0,1019.0,5.0,2.6,"1993-01-11T23:00:00"
"Row264",0.8566,0.0,1018.6,5.0,2.6,"1993-01-12T00:00:00"
"Row265",0.9255,0.0,1018.0,4.4,3.1,"1993-01-12T01:00:00"
"Row266",0.8513,0.0,1017.3,5.6,6.7,"1993-01-12T02:00:00"
"Row267",0.8216,0.0,1016.6,5.6,7.7,"1993-01-12T03:00:00"
"Row268",0.8216,0.0,1016.7917365478716,5.6,7.2,"1993-01-12T04:00:00"
"Row269",0.7631,0.0,1014.9,4.4,3.1,"1993-01-12T05:00:00"
"Row270",0.8933,0.0,1013.9,4.4,2.1,"1993-01-12T06:00:00"
"Row271",0.8933,0.0,1013.5,4.4,2.6,"1993-01-12T07:00:00"
"Row272",0.856,0.0,1012.5,4.4,2.1,"1993-01-12T08:00:00"
"Row273",0.8208,0.0,1011.9,5.0,6.7,"1993-01-12T09:00:00"
"Row274",0.7873,0.0,1011.5,5.6,5.2,"1993-01-12T10:00:00"
"Row275",0.8566,0.5,1010.8,5.0,9.8,"1993-01-12T11:00:00"
"Row276",0.8875,1.3,1009.1,5.0,12.4,"1993-01-12T12:00:00"
"Row277",0.9589,3.6,1007.5,5.0,8.8,"1993-01-12T13:00:00"
"Row278",0.9589,2.5,1005.4,5.0,9.3,"1993-01-12T14:00:00"
"Row279",0.9259,0.5,1004.4,5.0,11.3,"1993-01-12T15:00:00"
"Row280",0.9589,2.5,1003.7,5.0,11.3,"1993-01-12T16:00:00"
"Row281",0.9591,2.8,1002.4,5.6,9.3,"1993-01-12T17:00:00"
"Row282",0.966,2.8,1001.7,6.1,7.2,"1993-01-12T18:00:00"
"Row283",0.9595,4.1,1001.7,6.7,2.6,"1993-01-12T19:00:00"
"Row284",1.0,5.1,1001.0,6.7,2.1,"1993-01-12T20:00:00"
"Row285",1.0,6.6,1000.7,7.8,2.1,"1993-01-12T21:00:00"
"Row286",0.9287,3.0,1000.0,10.0,6.2,"1993-01-12T22:00:00"
"Row287",0.9012,2.3,999.7,14.4,12.9,"1993-01-12T23:00:00"
"Row288",0.9012,2.0,1000.0,14.4,10.3,"1993-01-13T00:00:00"
"Row289",0.9311,0.3,1000.0,14.4,14.9,"1993-01-13T01:00:00"
"Row290",0.9311,3.0,1000.0,14.4,16.5,"1993-01-13T02:00:00"
"Row291",0.9309,6.9,1000.3,13.9,10.3,"1993-01-13T03:00:00"
"Row292",0.9004,6.1,1000.0,13.3,11.3,"1993-01-13T04:00:00"
"Row293",0.9305,4.8,1000.7,13.3,11.3,"1993-01-13T05:00:00"
"Row294",0.9679,3.0,1001.4,13.3,12.4,"1993-01-13T06:00:00"
"Row295",0.9305,2.0,1002.7,13.3,10.3,"1993-01-13T07:00:00"
"Row296",1.0,2.3,1003.7,13.3,9.3,"1993-01-13T08:00:00"
"Row297",0.9305,2.0,1004.4,13.3,11.3,"1993-01-13T09:00:00"
"Row298",0.9305,0.8,1005.4,13.3,9.8,"1993-01-13T10:00:00"
"Row299",0.8664,0.0,1005.8,14.4,6.7,"1993-01-13T11:00:00"
"Row300",0.8021,0.0,1005.1,15.6,6.2,"1993-01-13T12:00:00"
"Row301",0.9309,0.0621152418479811,1003.7,13.9,5.7,"1993-01-13T13:00:00"
"Row302",1.0,10.2,1003.1,13.9,4.1,"1993-01-13T14:00:00"
"Row303",0.9679,2.3,1003.1,13.3,6.7,"1993-01-13T15:00:00"
"Row304",0.9614,0.0,1002.4,12.8,5.2,"1993-01-13T16:00:00"
"Row305",0.9303,0.0,1001.7,12.8,5.2,"1993-01-13T17:00:00"
"Row306",0.9614,0.5,1001.4,12.8,5.7,"1993-01-13T18:00:00"
"Row307",0.9303,0.0,1000.3,12.8,5.2,"1993-01-13T19:00:00"
"Row308",0.9611,0.0,999.7,11.7,5.7,"1993-01-13T20:00:00"
"Row309",0.9611,0.0,999.0,11.7,2.1,"1993-01-13T21:00:00"
"Row310",0.9297,0.0,999.3,11.7,6.7,"1993-01-13T22:00:00"
"Row311",0.9611,2.0,999.3,11.7,3.6,"1993-01-13T23:00:00"
"Row312",1.0,2.5,999.3,11.1,4.6,"1993-01-14T00:00:00"
"Row313",0.9611,1.8,999.7,11.7,2.1,"1993-01-14T01:00:00"
"Row314",0.9228,1.5,1001.7,10.6,18.0,"1993-01-14T02:00:00"
"Row315",0.9228,0.3,1004.1,10.6,14.9,"1993-01-14T03:00:00"
"Row316",0.8918,0.5,1006.1,10.0,12.4,"1993-01-14T04:00:00"
"Row317",0.7107,0.0,1007.1,10.0,12.9,"1993-01-14T05:00:00"
"Row318",0.6816,0.0,1008.8,10.0,10.8,"1993-01-14T06:00:00"
"Row319",0.7986,0.0,1011.2,9.4,6.7,"1993-01-14T07:00:00"
"Row320",0.7986,0.0,1012.2,9.4,5.2,"1993-01-14T08:00:00"
"Row321",0.7681,0.0,1013.9,10.6,4.1,"1993-01-14T09:00:00"
"Row322",0.743,0.0,1014.9,11.1,4.6,"1993-01-14T10:00:00"
"Row323",0.739,0.0,1015.9,11.7,4.1,"1993-01-14T11:00:00"
"Row324",0.8011,0.5,1015.6,11.1,3.1,"1993-01-14T12:00:00"
"Row325",0.6169,0.0,1014.9,13.3,6.7,"1993-01-14T13:00:00"
"Row326",0.5481,0.0,1014.6,13.3,7.2,"1993-01-14T14:00:00"
"Row327",0.4879,0.0,1014.9,13.9,6.2,"1993-01-14T15:00:00"
"Row328",0.5663,0.0,1015.2,12.8,8.2,"1993-01-14T16:00:00"
